stage,point,x,y
0,0,-1.1409821253857764,-0.8584644035543114
0,1,1.0518870289932627,1.5706855744884174
0,2,2.0761280314578507,0.9136382253816697
0,3,3.096317665298249,2.544055730370174
0,4,2.370593647574939,4.631584187828487
1,0,-0.2752624961254274,-0.1342294275940515
1,1,1.3464432909487014,1.2410651735885696
1,2,2.4661100053403744,1.539611134916534
1,3,3.08567396795146,3.1086301041321365
1,4,4.507405096944422,5.0051721154365625
2,0,0.05453154412161565,0.1065919904244077
2,1,0.8106593083404778,1.2304596068194429
2,2,2.788291676449223,2.6572107293170806
2,3,3.0264600353591287,3.7666327226583562
2,4,4.475191251848828,3.5016714874430837
3,0,1.2278406099002324,0.21851208258853094
3,1,1.992989435067995,1.7295909724420588
3,2,2.9806866020738454,2.48068217166547
3,3,3.4208426307934894,3.352093229678042
3,4,4.8692893021565435,4.4104274093092
4,0,0.31578521902905354,0.8465992257951156
4,1,1.9227358263664467,2.589049032614866
4,2,2.7947340007985506,2.5067273973565483
4,3,3.5539474883998627,2.5270040336708073
4,4,5.22672358859389,4.798349735914648
5,0,1.5087127995739218,1.3889383065259544
5,1,2.0559902134698227,1.321658246406248
5,2,2.580687649217595,3.8957114204686523
5,3,4.003815168360774,4.616032920430245
5,4,5.225493487418776,5.077417201205153
6,0,2.629773266045519,1.5734804058821958
6,1,3.3518549154608053,2.5821009278499183
6,2,2.257912025891655,3.4999863888126606
6,3,3.9002456719851075,4.235008182270286
6,4,4.724699246866813,4.880954613918276
7,0,1.1988699725503282,1.8629531351579216
7,1,1.955193301970487,2.52148690432358
7,2,3.700482814181174,3.617503718221979
7,3,4.9065943006226815,5.206505814711638
7,4,4.790687345719225,4.8318497765696815
8,0,1.7650450344148305,1.5003904732804534
8,1,1.9835258260224582,2.800792431675462
8,2,3.909476625119228,3.7442102073197976
8,3,3.9470373176430384,4.8242709586668235
8,4,5.374162975396468,5.552974950493856
9,0,1.3988682881182226,1.7587077571650143
9,1,2.459728575703206,3.3988472698767014
9,2,4.236513237965737,4.351948171607711
9,3,4.941050213153912,4.215101279783455
9,4,6.39500622158447,6.1415214505499245
